Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Molecular Sequence Numbers,Chemicals/CAS,Tradenames,Manufacturers,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Funding Text 4,Funding Text 5,Funding Text 6,Funding Text 7,Funding Text 8,Funding Text 9,Funding Text 10,References,Correspondence Address,Editors,Sponsors,Publisher,Conference name,Conference date,Conference location,Conference code,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
[No author name available],[No author id available],"MICROBIOTA: Clostridial metabolite production",2019,"Science","366","6471",,"1326B","",,,"10.1126/SCIENCE.366.6471.1324-L","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082729802&doi=10.1126%2fSCIENCE.366.6471.1324-L&partnerID=40&md5=f17d95abd39fec9737c8e4efd1d3eb33",,"",[No abstract available],,"short chain fatty acid; bacterial metabolism; Clostridia; fatty acid synthesis; metabolite; nonhuman; Note; priority journal",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85082729802
[No author name available],[No author id available],"MUCOSAL IMMUNOLOGY: Protecting intestinal stem cells",2019,"Science","366","6471",,"1326C","",,,"10.1126/SCIENCE.366.6471.1324-R","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082729740&doi=10.1126%2fSCIENCE.366.6471.1324-R&partnerID=40&md5=4014ac0e91738ea074fc28e2355b2a76",,"",[No abstract available],,"gamma interferon; allogenic bone marrow transplantation; cell protection; cell self-renewal; cell structure; homeostasis; intestinal stem cell; JAK-STAT signaling; nonhuman; Note; priority journal; T lymphocyte",,"gamma interferon, 82115-62-6",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85082729740
[No author name available],[No author id available],"MICROBIOTA: Prospecting for drugs in the microbiome",2019,"Science","366","6471",,"1326B","",,,"10.1126/SCIENCE.366.6471.1324-P","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082729416&doi=10.1126%2fSCIENCE.366.6471.1324-P&partnerID=40&md5=27530ab27f6163d468264e7d468355c4",,"",[No abstract available],,"antibiotic agent; antineoplastic agent; polyketide; Bacillus subtilis; gene cluster; Gram positive bacterium; microflora; nonhuman; Note; priority journal; strain identification; Streptomyces",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85082729416
[No author name available],[No author id available],"PHYSIOLOGY: Metabolic changes under pressure",2019,"Science","366","6471",,"1326C","",,,"10.1126/SCIENCE.366.6471.1324-S","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082729242&doi=10.1126%2fSCIENCE.366.6471.1324-S&partnerID=40&md5=fd83fa47fff89a567afda63eba480684",,"",[No abstract available],,"phosphotransferase; enzyme activity; glomerulus; high salt diet; hypertension; kidney disease; metabolic change; metabolic regulation; metabolism; nonhuman; Note; priority journal",,"phosphotransferase, 9031-09-8, 9031-44-1",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85082729242
[No author name available],[No author id available],"STRUCTURAL BIOLOGY: Revised view of anticancer drug mechanism",2019,"Science","366","6471",,"1326B","",,,"10.1126/SCIENCE.366.6471.1324-J","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082729097&doi=10.1126%2fSCIENCE.366.6471.1324-J&partnerID=40&md5=0d5ccb8e8d32b10a3a59e0064a0af515",,"",[No abstract available],,"cyclin D1; cyclin dependent kinase 4; palbociclib; protein p27; tyrosine; antineoplastic activity; breast cancer; cell cycle regulation; complex formation; crystal structure; drug mechanism; drug protein binding; enzyme activation; enzyme active site; enzyme modification; enzyme structure; human; Note; priority journal; protein phosphorylation; structure analysis",,"cyclin dependent kinase 4, 147014-97-9; palbociclib, 571190-30-2, 827022-33-3; tyrosine, 16870-43-2, 55520-40-6, 60-18-4",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85082729097
[No author name available],[No author id available],"GLOBAL CONSERVATION: The time is now",2019,"Science","366","6471",,"1326B","",,,"10.1126/SCIENCE.366.6471.1324-K","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082729094&doi=10.1126%2fSCIENCE.366.6471.1324-K&partnerID=40&md5=350b1739231329f62ce3684d4a122cbd",,"",[No abstract available],,"commercial phenomena; economic aspect; environmental protection; human; natural science; Note; priority journal",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85082729094
[No author name available],[No author id available],"CLIMATE CHANGE: Measuring mitigation and adaptation",2019,"Science","366","6471",,"1326B","",,,"10.1126/SCIENCE.366.6471.1324-O","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082729043&doi=10.1126%2fSCIENCE.366.6471.1324-O&partnerID=40&md5=d273fd1c27dbd4dfcf0edc308804ed5c",,"",[No abstract available],,"carbon dioxide; atmospheric pressure; biodiversity; carbon footprint; climate change; ecosystem; environmental management; environmental monitoring; human; Note; priority journal",,"carbon dioxide, 124-38-9, 58561-67-4",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85082729043
[No author name available],[No author id available],"NANOMATERIALS: Single-layer porphyrin polymerization",2019,"Science","366","6471",,"1326B","1326C",,,"10.1126/SCIENCE.366.6471.1324-Q","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082728976&doi=10.1126%2fSCIENCE.366.6471.1324-Q&partnerID=40&md5=1b79f5432a63765bfdca00351ac2ee17",,"",[No abstract available],,"disulfide; molybdenum; pentane; porphyrin; water; electron microscopy; laminar flow; Note; polymerization; priority journal; spectroscopy; synthesis",,"disulfide, 16734-12-6; molybdenum, 7439-98-7; pentane, 109-66-0; porphyrin, 24869-67-8; water, 7732-18-5",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85082728976
[No author name available],[No author id available],"GLYCOBIOLOGY: A division of labor for glycosylation",2019,"Science","366","6471",,"1326B","",,,"10.1126/SCIENCE.366.6471.1324-M","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082728969&doi=10.1126%2fSCIENCE.366.6471.1324-M&partnerID=40&md5=7ee0f0ebacf5cfd894a17ae7b5789ccd",,"",[No abstract available],,"asparagine; oligosaccharyltransferase A; oligosaccharyltransferase B; sugar; transferase; unclassified drug; carbohydrate transport; endoplasmic reticulum; enzyme active site; enzyme substrate; glycosylation; human; Note; priority journal; protein protein interaction",,"asparagine, 70-47-3, 7006-34-0; transferase, 9047-61-4",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85082728969
[No author name available],[No author id available],"MARTIAN ATMOSPHERE: Mapping winds in Mars' upper atmosphere",2019,"Science","366","6471",,"1324","",,,"10.1126/SCIENCE.366.6471.1324-B","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082199856&doi=10.1126%2fSCIENCE.366.6471.1324-B&partnerID=40&md5=d53d1a7ef4dc15d6f655b9d747d398e1",,"",[No abstract available],,"altitude; astronomy; atmosphere; atmospheric moisture; Note; priority journal; surface property; wind speed",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85082199856
[No author name available],[No author id available],"NEUROSCIENCE: Cell-type identification in neural circuits",2019,"Science","366","6471",,"1325","",,1,"10.1126/SCIENCE.366.6471.1324-G","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082199141&doi=10.1126%2fSCIENCE.366.6471.1324-G&partnerID=40&md5=5e5ce7dcf6fb17b6d52d5c1fb3bc7987",,"",[No abstract available],,"gene expression profiling; genetic code; high throughput sequencing; molecular dynamics; neuroscience; nonhuman; Note; priority journal; social interaction",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85082199141
[No author name available],[No author id available],"STEM CELLS: Lubricating cell fate",2019,"Science","366","6471",,"1326","",,,"10.1126/SCIENCE.366.6471.1325-C","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082198921&doi=10.1126%2fSCIENCE.366.6471.1325-C&partnerID=40&md5=0aff914ca2bb17d1261232154fc98874",,"",[No abstract available],,"DEGS1 protein; regulator protein; sphingolipid; unclassified drug; cancer risk; cell activation; cell damage; cell differentiation; cell fate; cell function; cell lineage; cell self-renewal; cell stress; endoplasmic reticulum; hematopoietic stem cell; human; lipid composition; nonhuman; Note; obesity; priority journal; stem cell",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","All Open Access, Bronze",Scopus,2-s2.0-85082198921
[No author name available],[No author id available],"MARTIAN ATMOSPHERE: Mapping winds in Mars' upper atmosphere",2019,"Science","366","6471",,"1324","",,,"10.1126/SCIENCE.366.6471.1324-A","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082196370&doi=10.1126%2fSCIENCE.366.6471.1324-A&partnerID=40&md5=c02ccd1508fafb9e297e76a24ee0f5e5",,"",[No abstract available],,"altitude; astronomy; atmosphere; geographic mapping; global change; Note; priority journal; slope factor; space flight; topography; upper atmosphere; wind; wind speed",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85082196370
[No author name available],[No author id available],"NEUROSCIENCE: Sleep disruption in cognitive decline",2019,"Science","366","6471",,"1325","",,,"10.1126/SCIENCE.366.6471.1324-I","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082195722&doi=10.1126%2fSCIENCE.366.6471.1324-I&partnerID=40&md5=e8e650d41ea30c6aa00bca9be874b833",,"",[No abstract available],,"cell activation; cell aging; cognitive defect; degenerative disease; dementia; elderly care; gene expression; human; microglia; morbidity; neocortex; nerve degeneration; Note; priority journal; sleep disorder; sleep fragmentation; sleep parameters",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85082195722
[No author name available],[No author id available],"PSYCHIATRIC DISEASES: Dissecting the effects of ecstasy",2019,"Science","366","6471",,"1325","",,,"10.1126/SCIENCE.366.6471.1325-B","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082193528&doi=10.1126%2fSCIENCE.366.6471.1325-B&partnerID=40&md5=6ba83d91783170386e724b7fc6d8a4a8",,"",[No abstract available],,"midomafetamine; drug effect; drug screening; drug use; nonhuman; Note; priority journal; serotoninergic system; signal transduction",,"midomafetamine, 42542-10-9",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","All Open Access, Bronze",Scopus,2-s2.0-85082193528
[No author name available],[No author id available],"QUANTUM MECHANICS: Quenched tunneling in ammonia",2019,"Science","366","6471",,"1326","",,,"10.1126/SCIENCE.366.6471.1325-E","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082193310&doi=10.1126%2fSCIENCE.366.6471.1325-E&partnerID=40&md5=9505dbff4bd0150f07acb5e3435523e0",,"",[No abstract available],,"ammonia; electric conductivity; electric field; energy resource; molecular dynamics; Note; priority journal; quantum mechanics",,"ammonia, 14798-03-9, 51847-23-5, 7664-41-7",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","All Open Access, Bronze",Scopus,2-s2.0-85082193310
[No author name available],[No author id available],"MOLECULAR BIOLOGY: Cohesin extrudes DNA loops",2019,"Science","366","6471",,"1324","",,,"10.1126/SCIENCE.366.6471.1324-D","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082190787&doi=10.1126%2fSCIENCE.366.6471.1324-D&partnerID=40&md5=2287305fedc10fd25bdfefa7a74d9d5a",,"",[No abstract available],,"cohesin; DNA; DNA loop; DNA structure; human; nonhuman; Note; priority journal",,"DNA, 9007-49-2",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85082190787
[No author name available],[No author id available],"LONGEVITY: Immune-mediated longevity",2019,"Science","366","6471",,"1325","",,,"10.1126/SCIENCE.366.6471.1325-A","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082190247&doi=10.1126%2fSCIENCE.366.6471.1325-A&partnerID=40&md5=763ea4e63b6b1b99bb81616c9ab21673",,"",[No abstract available],,"aging; body size; bone marrow cell; cell composition; granulocyte; growth, development and aging disorders; Heterocephalus; immune system; immunocompetent cell; lifespan; longevity; lymphoid cell; malignant neoplasm; natural killer cell; nonhuman; Note; priority journal; RNA sequencing; social behavior",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","All Open Access, Bronze",Scopus,2-s2.0-85082190247
[No author name available],[No author id available],"DNA DAMAGE: Genomic sensitivit y unmasked by UV",2019,"Science","366","6471",,"1325","",,,"10.1126/SCIENCE.366.6471.1324-F","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082190065&doi=10.1126%2fSCIENCE.366.6471.1324-F&partnerID=40&md5=01cc08c6d85a8700578b4e24351ff41b",,"",[No abstract available],,"cancer risk; DNA damage; fibroblast; gene expression; gene locus; gene mutation; genetic code; human; melanocyte; melanoma; Note; priority journal; radiation exposure; sequence analysis; ultraviolet irradiation",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85082190065
[No author name available],[No author id available],"FISHERIES: Fisherman's friends",2019,"Science","366","6471",,"1326","",,,"10.1126/SCIENCE.366.6471.1325-D","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082189162&doi=10.1126%2fSCIENCE.366.6471.1325-D&partnerID=40&md5=d83149617a0e824b24b0494f3617ef31",,"",[No abstract available],,"aquatic environment; environmental policy; fishery; fishery management; fishing; human; income; mental stress; Note; priority journal; seashore",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","All Open Access, Bronze",Scopus,2-s2.0-85082189162
[No author name available],[No author id available],"ANCIENT ATMOSPHERE: Stepping to an internal beat",2019,"Science","366","6471",,"1324","",,,"10.1126/SCIENCE.366.6471.1324-C","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082188504&doi=10.1126%2fSCIENCE.366.6471.1324-C&partnerID=40&md5=4864e7f05d1335872e5d18fd6eab92c3",,"",[No abstract available],,"carbon; oxygen; phosphorus; Antiquity; atmosphere; environmental monitoring; geological time; Note; oxidation; priority journal",,"carbon, 7440-44-0; oxygen, 7782-44-7; phosphorus, 7723-14-0",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85082188504
[No author name available],[No author id available],"NANOMATERIALS: Improving nanocrystal contacts",2019,"Science","366","6471",,"1326","",,,"10.1126/SCIENCE.366.6471.1325-G","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082187945&doi=10.1126%2fSCIENCE.366.6471.1325-G&partnerID=40&md5=f9ef66de06711cd31e23b1ca07381919",,"",[No abstract available],,"glass; nanocrystal; quantum dot; selenide; selenide nanocrystal; silicon; unclassified drug; material coating; nanotechnology; Note; particle size; priority journal; temperature; X ray diffraction",,"silicon, 7440-21-3",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","All Open Access, Bronze",Scopus,2-s2.0-85082187945
[No author name available],[No author id available],"SUPERNOVAE: Type II supernovae from binary stars",2019,"Science","366","6471",,"1326","",,,"10.1126/SCIENCE.366.6471.1325-F","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082185581&doi=10.1126%2fSCIENCE.366.6471.1325-F&partnerID=40&md5=199085c59d4bb2ab62470ec747785624",,"",[No abstract available],,"hydrogen; biodiversity; chemical interaction; meteorological phenomena; Note; priority journal; proton transport; synthesis; type II supernovae",,"hydrogen, 12385-13-6, 1333-74-0",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","All Open Access, Bronze",Scopus,2-s2.0-85082185581
[No author name available],[No author id available],"BODY SIZE: It's the prey that matters",2019,"Science","366","6471",,"1325","",,,"10.1126/SCIENCE.366.6471.1324-H","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082181867&doi=10.1126%2fSCIENCE.366.6471.1324-H&partnerID=40&md5=8bc4613ffc4941e884a1f379071ae554",,"",[No abstract available],,"astronomy; blue whale; body size; dinosaur; energy; feeding; information processing; marine environment; nonhuman; Note; prey; priority journal",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85082181867
